y(px)	x(px)	width(px)	intensity(arb.unit)
1226.5807	34.451614	5.5677643	0.3201962
1241.0	34.32143	5.2915025	0.32040438
1255.32	34.24	5.0	0.31842244
866.7083	35.0	4.8989797	0.32945144
881.0909	34.909092	4.690416	0.3319631
895.8095	34.857143	4.582576	0.33049375
910.1429	34.809525	4.582576	0.33527383
924.9091	34.909092	4.690416	0.33406115
939.1905	34.857143	4.582576	0.32546744
953.9091	34.909092	4.690416	0.3251985
968.6	34.96	5.0	0.3123428
983.0	35.0	5.0	0.28707972
13.30303	48.090908	5.7445626	0.3813019
28.30303	48.090908	5.7445626	0.37136728
43.303032	48.090908	5.7445626	0.37611932
57.82857	48.0	5.91608	0.3760485
72.73529	48.0	5.8309517	0.38022187
87.69697	47.909092	5.7445626	0.37095186
102.34375	48.0	5.656854	0.3738163
117.30303	47.909092	5.7445626	0.37809604
132.30302	47.909092	5.7445626	0.38311362
146.79411	47.911766	5.8309517	0.38343054
161.81818	47.81818	5.7445626	0.3898434
176.63333	47.633335	5.477226	0.38840702
191.5	47.5	5.656854	0.382167
206.5	47.5	5.656854	0.37976068
221.34375	47.625	5.656854	0.38459456
236.15625	47.59375	5.656854	0.39072397
250.58064	47.548386	5.5677643	0.39094236
266.0	47.65625	5.656854	0.39324188
280.58066	47.548386	5.5677643	0.39266905
295.5	47.5	5.656854	0.39044672
310.5	47.5	5.656854	0.38697088
325.5	47.5	5.656854	0.38837984
340.09677	47.677418	5.5677643	0.38732338
354.74194	47.580647	5.5677643	0.3850455
369.5	47.5	5.656854	0.3807985
384.5	47.5	5.656854	0.3861488
399.25806	47.580647	5.5677643	0.38449302
413.58066	47.548386	5.5677643	0.39095515
428.5	47.5	5.656854	0.391991
443.5	47.5	5.656854	0.39200228
458.2	47.666668	5.477226	0.37980106
472.71875	47.8125	5.656854	0.38130656
487.71875	47.8125	5.656854	0.3821828
502.69696	47.909092	5.7445626	0.38265702
517.5455	47.78788	5.7445626	0.39384228
